wavenumber;PC2
3996,415;0,017231307
3994,487;0,017772331
3992,558;0,01772191
3990,629;0,017631458
3988,7;0,016848258
3986,772;0,014878013
3984,843;0,013144547
3982,914;0,014192223
3980,985;0,017341156
3979,057;0,019295952
3977,128;0,018990796
3975,199;0,017567295
3973,27;0,016827424
3971,341;0,01734753
3969,413;0,017546865
3967,484;0,016811611
3965,555;0,015971435
3963,626;0,014783178
3961,698;0,013441111
3959,769;0,013318239
3957,84;0,014621269
3955,911;0,016444389
3953,982;0,017745258
3952,054;0,017862464
3950,125;0,016631405
3948,196;0,015599379
3946,267;0,016215347
3944,339;0,01579307
3942,41;0,013339371
3940,481;0,012470924
3938,552;0,01334249
3936,624;0,014853173
3934,695;0,01699949
3932,766;0,016657415
3930,837;0,013243665
3928,908;0,012844756
3926,98;0,015868108
3925,051;0,016924319
3923,122;0,015386805
3921,193;0,015190165
3919,265;0,015523432
3917,336;0,014587512
3915,407;0,015646395
3913,478;0,018571697
3911,549;0,019124854
3909,621;0,018224606
3907,692;0,018596308
3905,763;0,016374818
3903,834;0,008862102
3901,906;0,006355694
3899,977;0,010581766
3898,048;0,012460235
3896,119;0,012821766
3894,191;0,014363987
3892,262;0,014697597
3890,333;0,014045562
3888,404;0,014500685
3886,475;0,012702723
3884,547;0,010203428
3882,618;0,012041632
3880,689;0,012904991
3878,76;0,012042246
3876,832;0,013910561
3874,903;0,015489094
3872,974;0,014848905
3871,045;0,012192461
3869,117;0,007496972
3867,188;0,007682549
3865,259;0,01219543
3863,33;0,0144929
3861,401;0,01422888
3859,473;0,014470128
3857,544;0,016873819
3855,615;0,020091453
3853,686;0,01312467
3851,758;0,002809106
3849,829;0,004193147
3847,9;0,009519425
3845,971;0,01451557
3844,042;0,016664767
3842,114;0,015493221
3840,185;0,013617692
3838,256;0,010554664
3836,327;0,007681896
3834,399;0,008265958
3832,47;0,009699758
3830,541;0,009905308
3828,612;0,009918305
3826,684;0,010361447
3824,755;0,012663732
3822,826;0,014451286
3820,897;0,010840446
3818,968;0,009665922
3817,04;0,011144197
3815,111;0,009202516
3813,182;0,010294121
3811,253;0,014926796
3809,325;0,016892415
3807,396;0,013355596
3805,467;0,010973157
3803,538;0,01153006
3801,609;0,007650022
3799,681;0,00539579
3797,752;0,008671193
3795,823;0,009919523
3793,894;0,009778257
3791,966;0,011374183
3790,037;0,012408355
3788,108;0,011325413
3786,179;0,009510376
3784,251;0,008614699
3782,322;0,00934941
3780,393;0,009443368
3778,464;0,007818973
3776,535;0,007274426
3774,607;0,008148696
3772,678;0,009534612
3770,749;0,010083031
3768,82;0,009324431
3766,892;0,009574614
3764,963;0,010829316
3763,034;0,012902058
3761,105;0,014857066
3759,177;0,012508033
3757,248;0,007441659
3755,319;0,007027191
3753,39;0,01109503
3751,461;0,011403366
3749,533;0,005072131
3747,604;0,000993697
3745,675;-0,003064907
3743,746;-0,004488082
3741,818;0,000588982
3739,889;0,005686684
3737,96;0,007566743
3736,031;0,005250705
3734,102;0,00077195
3732,174;-0,001427193
3730,245;-0,000106749
3728,316;0,004167763
3726,387;0,006097011
3724,459;0,001229713
3722,53;-0,00219395
3720,601;0,001598558
3718,672;0,005796509
3716,744;0,006613768
3714,815;0,00692021
3712,886;0,00660742
3710,957;0,004069061
3709,028;0,003233939
3707,1;0,002952841
3705,171;0,002781054
3703,242;0,004056621
3701,313;0,004740716
3699,385;0,002572016
3697,456;0,0003145
3695,527;0,002476573
3693,598;0,008258929
3691,669;0,010213206
3689,741;0,001093355
3687,812;-0,008729584
3685,883;-0,009005412
3683,954;-0,005838905
3682,026;-0,001500792
3680,097;0,004336724
3678,168;0,009107463
3676,239;0,006613481
3674,311;-0,001724057
3672,382;-0,004644427
3670,453;-0,006557067
3668,524;-0,010309976
3666,595;-0,010816651
3664,667;-0,008511047
3662,738;-0,006010759
3660,809;-0,004604266
3658,88;-0,004671365
3656,952;-0,006649675
3655,023;-0,007075949
3653,094;-0,003870928
3651,165;-0,002261759
3649,237;-0,010167295
3647,308;-0,01966981
3645,379;-0,021829127
3643,45;-0,020924757
3641,521;-0,01924897
3639,593;-0,01848648
3637,664;-0,019042704
3635,735;-0,01945311
3633,806;-0,019062707
3631,878;-0,018148118
3629,949;-0,02189812
3628,02;-0,035131704
3626,091;-0,039994611
3624,162;-0,034557178
3622,234;-0,027900589
3620,305;-0,027524683
3618,376;-0,033150004
3616,447;-0,035633162
3614,519;-0,036829096
3612,59;-0,040057598
3610,661;-0,041911195
3608,732;-0,040004416
3606,804;-0,035887
3604,875;-0,033185999
3602,946;-0,031772546
3601,017;-0,030622959
3599,088;-0,030505119
3597,16;-0,031813721
3595,231;-0,034296255
3593,302;-0,036096003
3591,373;-0,034959821
3589,445;-0,033046126
3587,516;-0,035155857
3585,587;-0,037977308
3583,658;-0,038128274
3581,729;-0,039812387
3579,801;-0,043469925
3577,872;-0,046095176
3575,943;-0,046238183
3574,014;-0,044275682
3572,086;-0,04052686
3570,157;-0,036512797
3568,228;-0,037920021
3566,299;-0,044747284
3564,371;-0,044577193
3562,442;-0,040232446
3560,513;-0,039170308
3558,584;-0,039639871
3556,655;-0,037746693
3554,727;-0,036101397
3552,798;-0,03878928
3550,869;-0,043459117
3548,94;-0,045067709
3547,012;-0,044947244
3545,083;-0,046296795
3543,154;-0,047151109
3541,225;-0,045778037
3539,297;-0,043399682
3537,368;-0,042172657
3535,439;-0,042650367
3533,51;-0,042869203
3531,581;-0,042574051
3529,653;-0,043042236
3527,724;-0,044817688
3525,795;-0,04683537
3523,866;-0,047740505
3521,938;-0,047404756
3520,009;-0,046427308
3518,08;-0,045661089
3516,151;-0,044805939
3514,222;-0,042997317
3512,294;-0,041431127
3510,365;-0,042502717
3508,436;-0,045053476
3506,507;-0,045143002
3504,579;-0,043433876
3502,65;-0,043515531
3500,721;-0,044640388
3498,792;-0,044433861
3496,864;-0,043991356
3494,935;-0,045014223
3493,006;-0,045875273
3491,077;-0,045034463
3489,148;-0,045074425
3487,22;-0,046583814
3485,291;-0,045767084
3483,362;-0,043174784
3481,433;-0,042802076
3479,505;-0,044093899
3477,576;-0,044280878
3475,647;-0,043596466
3473,718;-0,043399653
3471,789;-0,043142654
3469,861;-0,042341017
3467,932;-0,041878138
3466,003;-0,042139691
3464,074;-0,042243244
3462,146;-0,04090742
3460,217;-0,039301199
3458,288;-0,039745388
3456,359;-0,041777154
3454,431;-0,043214286
3452,502;-0,042066334
3450,573;-0,039114991
3448,644;-0,037741676
3446,715;-0,038174967
3444,787;-0,038385608
3442,858;-0,039398318
3440,929;-0,04057188
3439;-0,038996197
3437,072;-0,036904881
3435,143;-0,037216066
3433,214;-0,03708165
3431,285;-0,035481136
3429,357;-0,035591383
3427,428;-0,037277565
3425,499;-0,038340121
3423,57;-0,038637701
3421,641;-0,03859097
3419,713;-0,037270545
3417,784;-0,033871169
3415,855;-0,031042367
3413,926;-0,032040546
3411,998;-0,035014691
3410,069;-0,034995681
3408,14;-0,031319049
3406,211;-0,027903848
3404,282;-0,02732427
3402,354;-0,02860452
3400,425;-0,029185147
3398,496;-0,029252587
3396,567;-0,029998858
3394,639;-0,029016535
3392,71;-0,025229917
3390,781;-0,021897317
3388,852;-0,022255231
3386,924;-0,025512871
3384,995;-0,027464776
3383,066;-0,025971244
3381,137;-0,023223644
3379,208;-0,022552245
3377,28;-0,024042502
3375,351;-0,024436369
3373,422;-0,022938189
3371,493;-0,021415615
3369,565;-0,020152974
3367,636;-0,019293833
3365,707;-0,018467486
3363,778;-0,015305261
3361,849;-0,012104731
3359,921;-0,012660624
3357,992;-0,013767033
3356,063;-0,01371562
3354,134;-0,015137872
3352,206;-0,016636488
3350,277;-0,016082818
3348,348;-0,01529982
3346,419;-0,015401729
3344,491;-0,015132633
3342,562;-0,014111775
3340,633;-0,012115752
3338,704;-0,008754062
3336,775;-0,006440548
3334,847;-0,006900151
3332,918;-0,007328546
3330,989;-0,006080115
3329,06;-0,004963044
3327,132;-0,004778151
3325,203;-0,005122384
3323,274;-0,005294708
3321,345;-0,003316667
3319,417;0,001151539
3317,488;0,004782664
3315,559;0,004370638
3313,63;0,000445863
3311,701;-0,003170995
3309,773;-0,003128507
3307,844;0,000677893
3305,915;0,006081293
3303,986;0,009466283
3302,058;0,009000565
3300,129;0,008047487
3298,2;0,009670345
3296,271;0,01313576
3294,342;0,01673023
3292,414;0,018337492
3290,485;0,017215308
3288,556;0,014264308
3286,627;0,010836889
3284,699;0,009847024
3282,77;0,012010863
3280,841;0,014420432
3278,912;0,015590495
3276,984;0,016554556
3275,055;0,018084196
3273,126;0,01867729
3271,197;0,01826147
3269,268;0,019038085
3267,34;0,019197466
3265,411;0,016537477
3263,482;0,014015147
3261,553;0,013601223
3259,625;0,013404993
3257,696;0,012608526
3255,767;0,011682642
3253,838;0,010305491
3251,909;0,009420087
3249,981;0,010223426
3248,052;0,011985057
3246,123;0,01272069
3244,194;0,010849927
3242,266;0,007838365
3240,337;0,005531646
3238,408;0,003626409
3236,479;0,00226688
3234,551;0,001943978
3232,622;0,001693954
3230,693;0,000458432
3228,764;-0,00074537
3226,835;-0,001287956
3224,907;-0,002189889
3222,978;-0,002545915
3221,049;-0,000903172
3219,12;0,001446492
3217,192;0,003210867
