sample;id;species;organ;sex_age;elevation;year;biomass;PC1;PC2
LM_6_135_E.nigrum_B_MA_426_2006;LM_6_135;E.nigrum;B;MA;426;2006;98,21093457;-0.0873631387150538;-0.0109271266130181
LM_12_40_S.herbacea_Sb_MA_309_2012;LM_12_40;S.herbacea;Sb;MA;309;2012;98,77972247;0.134391141271962;-0.00532898034219798
LM_11_131_Vaccinium_B_MA_384_2011;LM_11_131;Vaccinium;B;MA;384;2011;99,00455063;-0.022574367616768;0.0265914573470642
LM_13_232_Vaccinium_B_FJ_292_2013;LM_13_232;Vaccinium;B;FJ;292;2013;99,27091328;-0.0796762319389326;-0.0121353292326348
LM_14_184_Vaccinium_B_FJ_236_2014;LM_14_184;Vaccinium;B;FJ;236;2014;99,28327645;-0.0573168805333678;0.0113455334777367
LM_14_46_E.nigrum_B_MJ_362_2014;LM_14_46;E.nigrum;B;MJ;362;2014;99,52754417;-0.113335910147058;-0.048430807151241
LM_14_92_Vaccinium_B_MJ_238_2014;LM_14_92;Vaccinium;B;MJ;238;2014;99,75849898;-0.0330768357648913;0.0397437564845204
LM_7_18_Vaccinium_B_MJ_240_2007;LM_7_18;Vaccinium;B;MJ;240;2007;100;-0.0084890353533261;0.0419713187350149
LM_11_86_Vaccinium_B_FJ_325_2011;LM_11_86;Vaccinium;B;FJ;325;2011;100;-0.0211147716115803;0.0308001950158655
LM_14_161_Vaccinium_B_FJ_345_2014;LM_14_161;Vaccinium;B;FJ;345;2014;100;-0.0203018634693757;0.0271318626127526
LM_6_39_Vaccinium_B_NA_NA_2006;LM_6_39;Vaccinium;B;NA;NA;2006;NA;-0.0615571439207171;0.0161523994448249
LM_6_49_E.nigrum_B_MJ_204_2006;LM_6_49;E.nigrum;B;MJ;204;2006;16,22;-0.0450295477102136;0.0161974899235378
LM_7_151_B.pubescens_C_FA_160_2007;LM_7_151;B.pubescens;C;FA;160;2007;3,069;0.106205173863768;0.0359731113412816
LM_7_152_B.pubescens_C_FA_160_2007;LM_7_152;B.pubescens;C;FA;160;2007;75,613;0.205260104946107;0.128462902172555
LM_7_154_B.pubescens_C_FA_180_2007;LM_7_154;B.pubescens;C;FA;180;2007;93,936;0.189344474993504;0.103331777718561
LM_7_158_B.nana_C_C_NA_NA_2007;LM_7_158;B.nana;C;NA;NA;2007;NA;0.113762079858427;0.0408261344792957
LM_7_167_B.pubescens_C_NA_NA_2007;LM_7_167;B.pubescens;C;NA;NA;2007;NA;0.171191751517624;0.0857140640916466
LM_7_168_B.nana_C_C_NA_NA_2007;LM_7_168;B.nana;C;NA;NA;2007;NA;0.159746752887724;0.0718462311385056
LM_7_173_B.nana_C_C_NA_NA_2007;LM_7_173;B.nana;C;NA;NA;2007;NA;0.156171029813674;0.0544887781098298
LM_8_27_B.pubescens_C_MA_63_2008;LM_8_27;B.pubescens;C;MA;63;2008;92,42350891;0.196211340285978;0.064394429044167
LM_8_37_B.pubescens_C_FA_286_2008;LM_8_37;B.pubescens;C;FA;286;2008;99,48425051;0.238770162919911;0.132679887474342
LM_8_53_B.nana_IFR_IFR_FA_NA_2008;LM_8_53;B.nana;IFR;FA;NA;2008;NA;0.0776754358550538;0.00668037174993396
LM_8_80_B.pubescens_C_FA_329_2008;LM_8_80;B.pubescens;C;FA;329;2008;81,31821914;0.134495540643842;0.0604762859360354
LM_8_103_B.nana_C_C_NA_NA_2008;LM_8_103;B.nana;C;NA;NA;2008;NA;0.121081395452285;0.0476951405854082
LM_8_108_B.nana_IFR_IFR_NA_NA_2008;LM_8_108;B.nana;IFR;NA;NA;2008;NA;0.121534299414389;0.0654584141526758
LM_8_46_E.nigrum_B_MJ_332_2008;LM_8_46;E.nigrum;B;MJ;332;2008;19,93;-0.119256071558576;-0.0299070836089956
LM_9_93_S.phylicifolia_Sb_MJ_302_2009;LM_9_93;S.phylicifolia;Sb;MJ;302;2009;8,89;0.0642672281208298;-0.0400168633763498
LM_9_43_E.nigrum_B_FJ_432_2009;LM_9_43;E.nigrum;B;FJ;432;2009;14,04;-0.11767070343993;-0.0200950631452691
LM_10_12_S.herbacea_Sb_MJ_200_2010;LM_10_12;S.herbacea;Sb;MJ;200;2010;72,02;0.0443064613364223;-0.0433276158334967
LM_10_23_E.nigrum_B_MJ_357_2010;LM_10_23;E.nigrum;B;MJ;357;2010;21,01;-0.0771039224760302;-0.0284836325066625
LM_10_168_B.nana_IFR_IFR_MJ_NA_2010;LM_10_168;B.nana;IFR;MJ;NA;2010;NA;0.0918208461516612;0.0661755736527179
LM_10_295_Vaccinium_B_FA_370_2010;LM_10_295;Vaccinium;B;FA;370;2010;22,16;-0.00241088938712505;0.0454373992664157
LM_10_23_Vaccinium_B_MJ_357_2010;LM_10_23;Vaccinium;B;MJ;357;2010;53,91;-0.10620923714242;-0.0232424206322709
LM_10_268_Vaccinium_B_MJ_374_2010;LM_10_268;Vaccinium;B;MJ;374;2010;26,49;-0.0713525397483754;-0.000549881422818484
LM_10_295_E.nigrum_B_FA_370_2010;LM_10_295;E.nigrum;B;FA;370;2010;2,94;-0.0899748039808752;-0.0113948673586694
LM_11_91_E.nigrum_B_FJ_434_2011;LM_11_91;E.nigrum;B;FJ;434;2011;53,44;-0.102689742601853;-0.0247398177819908
LM_12_66_Vaccinium_B_FJ_420_2012;LM_12_66;Vaccinium;B;FJ;420;2012;9,25;-0.0132871106491272;0.0312934783678903
LM_12_51_E.nigrum_B_MJ_527_2012;LM_12_51;E.nigrum;B;MJ;527;2012;17,64;-0.135610299573573;-0.0445167690396569
LM_12_55_E.nigrum_B_FJ_527_2012;LM_12_55;E.nigrum;B;FJ;527;2012;19,01;-0.137112460404078;-0.0407405731028216
LM_12_66_Vaccinium_B_FJ_420_2012;LM_12_66;Vaccinium;B;FJ;420;2012;13,61;-0.161624418366358;-0.0252469475470721
LM_12_106_E.nigrum_B_MJ_500_2012;LM_12_106;E.nigrum;B;MJ;500;2012;48,94;-0.144872780502621;-0.0476994852356286
LM_12_199_E.nigrum_B_FJ_527_2012;LM_12_199;E.nigrum;B;FJ;527;2012;19,01;-0.0938318434392437;-0.0469520764823966
LM_13_86_E.nigrum_B_FJ_343_2013;LM_13_86;E.nigrum;B;FJ;343;2013;48,95;-0.0394171062914041;-0.0218933113243325
LM_13_110_E.nigrum_B_FJ_373_2013;LM_13_110;E.nigrum;B;FJ;373;2013;37,67;-0.0849305903492968;-0.0192322996886475
LM_13_167_E.nigrum_B_MJ_345_2013;LM_13_167;E.nigrum;B;MJ;345;2013;12,75;-0.113860886902177;-0.0283086092445424
LM_13_75_E.nigrum_B_MJ_378_2013;LM_13_75;E.nigrum;B;MJ;378;2013;16,37;-0.0750936699905678;-0.0259040964313425
LM_13_162_E.nigrum_B_MJ_354_2013;LM_13_162;E.nigrum;B;MJ;354;2013;42,38;-0.0343732338466433;0.0332228300932852
LM_14_56_E.nigrum_B_FJ_409_2014;LM_14_56;E.nigrum;B;FJ;409;2014;19,89;-0.029350918640275;-0.016385424168286
LM_14_35_E.nigrum_B_FA_370_2014;LM_14_35;E.nigrum;B;FA;370;2014;51,63;-0.103278645196146;-0.0316881096148553
LM_14_105_E.nigrum_B_MA_277_2014;LM_14_105;E.nigrum;B;MA;277;2014;65,76;-0.174277488815436;-0.0496799013284057
LM_14_185_E.nigrum_B_FJ_366_2014;LM_14_185;E.nigrum;B;FJ;366;2014;26,46;-0.163212766059074;-0.049781812763233
